ID,name,IUPAC name,short name,moiety type,reference moiety,abbrev,new abbrev,unified abbrev,new unified abbrev,pubchem id,smile,esc smile,additional information,nature,cids,sids,patents,synonyms,chebi id,cas id,reaxys id,formula,mass monoiso,mass avg,[M+H]+ Protonated Mass,Normalized LC elution time,LC elution order / characteristics,Product ions,logP,TPSA,atoms,lig id,degeneracy,found in,in DNA,in RNA,HBA1,HBA2,HBD,InChI,InChIKey,tautomers smiles,comment,last mod,related nucleosides,related nucleotides,dipole magnitude,energy,homo,lumo,gap eV
297,"(2R,4S)-1-[(4R)-3,4-dihydroxytetrahydrofuran-2-YL]-5-[(methylamino)methyl]-1,2,3,4-tetrahydropyrimidine-2,4-diol-5'-monophosphate",,pmnm5U,nucleotide,Uridine,{,{,511551U,2000511551U,,CNCc1c(=O)[nH]c(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c1,,,Natural,,,,,,,,C11H16N3O9P,,365.233,,,,,-1.7482,198.81,24,,not aplicable,RNA,No,Yes,8,11,4,"InChI=1S/C11H18N3O9P/c1-12-2-5-3-14(11(18)13-9(5)17)10-8(16)7(15)6(23-10)4-22-24(19,20)21/h3,6-8,10,12,15-16H,2,4H2,1H3,(H,13,17,18)(H2,19,20,21)/p-2/t6-,7-,8-,10-/m1/s1",NLAYVTPUNIVXFK-FDDDBJFASA-L,"CNCc1c(=O)[nH]c(=O)n(C2C(O)C(O)C(COP(=O)([O-])[O-])O2)c1	tautomer #0
CNCc1c(O)nc(=O)n(C2C(O)C(O)C(COP(=O)([O-])[O-])O2)c1	tautomer #1
CNCc1c(=O)nc(O)n(C2C(O)C(O)C(COP(=O)([O-])[O-])O2)c1	tautomer #2",,2025-09-15 16:52:10.668074+00:00,129,,27.937393478,-1611.25267081535,-8.4717,0.9361,9.4078
32,"1,2'-O-dimethyladenosine","(2R,3R,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methylpurin-9-yl)-4-methoxyoxolan-3-ol
",m1Am,nucleoside,Adenosine,œ,œ,01A,2000000901A,,CO[C@H]1[C@H]([n]2c3nc[n](c(=N)c3nc2)C)O[C@H](CO)[C@H]1O,C3%28OC%28CO%29C%28O%29C%28O%28C%29%293%29N2C%3DNC1%3DC2N%3DCN%28C%29C1%3DN,,Natural,"86751121
","225019393
341418422
381425423
389769027
419792659
435892037
",,"1-N-,2'-O-dimethyladenosine
2'-O-methyl-1-methyl-adenosine
(2R,3R,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methylpurin-9-yl)-4-methoxyoxolan-3-ol
DJONVIMMDYQLKR-WOUKDFQISA-N
SCHEMBL20580140
",,,,C12H17N5O4,295.1281,295.294,296.1359,,,150,-1.3854,118.41,21,,not applicable,RNA,No,Yes,7,9,3,"InChI=1S/C12H17N5O4/c1-16-4-15-11-7(10(16)13)14-5-17(11)12-9(20-2)8(19)6(3-18)21-12/h4-6,8-9,12-13,18-19H,3H2,1-2H3/t6-,8-,9-,12-/m1/s1",DJONVIMMDYQLKR-WOUKDFQISA-N,,,2025-09-15 16:52:12.556385+00:00,,340,7.109734975,-1041.7854332063,-8.5,1.1371,9.6371
340,"1,2'-O-dimethyladenosine-5'-monophosphate",,pm1Am,nucleotide,Adenosine,,œ,01551A,2000901551A,,CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=N)[n](C)cnc12,,,Natural,,,,,,,,C12H16N5O7P,,373.259,,,,,-0.392,180.41,25,,,,,,8,12,2,"InChI=1S/C12H18N5O7P/c1-16-4-15-11-7(10(16)13)14-5-17(11)12-9(22-2)8(18)6(24-12)3-23-25(19,20)21/h4-6,8-9,12-13,18H,3H2,1-2H3,(H2,19,20,21)/p-2/t6-,8-,9-,12-/m1/s1",HJNGEIFVNBNRDN-WOUKDFQISA-L,,,2025-09-15 16:52:12.762830+00:00,32,,38.293208842,-1608.38727246418,-8.3568,1.2771,9.6339
63,"1,2'-O-dimethylguanosine","2-amino-9-[(2R,3R,4R,5R)-4-hydroxy-5-(hydroxymethyl)-3-methoxyoxolan-2-yl]-1-methylpurin-6-one
",m1Gm,nucleoside,Guanosine,ε,ε,01G,2000000901G,,CO[C@H]1[C@H]([n]2c3nc([n](c(=O)c3nc2)C)N)O[C@H](CO)[C@H]1O,C3%28OC%28CO%29C%28O%29C%28O%28C%29%293%29N2C%3DNC1%3DC2N%3DC%28N%29N%28C%29C1%3DO,,Natural,"53962626
","227292504
341723385
349882578
391911134
419792658
",,"1,2'-Dimethylguanosine
1,2'-O-dimethylguanosine
2-amino-9-[(2R,3R,4R,5R)-4-hydroxy-5-(hydroxymethyl)-3-methoxyoxolan-2-yl]-1-methylpurin-6-one
73667-71-7
SCHEMBL1042637
",,,,C12H17N5O5,311.123,311.294,312.1308,,,166,-1.441,137.65,22,,not applicable,RNA,No,Yes,8,10,3,"InChI=1S/C12H17N5O5/c1-16-10(20)6-9(15-12(16)13)17(4-14-6)11-8(21-2)7(19)5(3-18)22-11/h4-5,7-8,11,18-19H,3H2,1-2H3,(H2,13,15)/t5-,7-,8-,11-/m1/s1",JLYURAYAEKVGQJ-IOSLPCCCSA-N,"COC1C(n2c3[nH]c(n(c(=O)c3nc2)C)=N)OC(CO)C1O	tautomer #0
COC1C(n2c3nc(n(c(=O)c3nc2)C)N)OC(CO)C1O	tautomer #1
COC1C(n2c3nc(n(c(O)c3nc2)C)=N)OC(CO)C1O	tautomer #2
COC1C(N2C3=NC(N(C(=O)C3N=C2)C)=N)OC(CO)C1O	tautomer #3
",,2025-09-15 16:52:20.070585+00:00,,341,9.851636311,-1117.0152235159,-8.4281,1.4396,9.8677
341,"1,2'-O-dimethylguanosine-5'-monophosphate",,pm1Gm,nucleotide,Guanosine,ε,ε,01551G,2000901551G,,CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=O)[n](C)c(N)nc12,,,Natural,,,,,,,,C12H16N5O8P,,389.258,,,,,-0.4476,199.65,26,,,,,,9,13,2,"InChI=1S/C12H18N5O8P/c1-16-10(19)6-9(15-12(16)13)17(4-14-6)11-8(23-2)7(18)5(25-11)3-24-26(20,21)22/h4-5,7-8,11,18H,3H2,1-2H3,(H2,13,15)(H2,20,21,22)/p-2/t5-,7-,8-,11-/m1/s1",DQOJIPVQEWUWJT-IOSLPCCCSA-L,"COC1C(O)C(COP(=O)([O-])[O-])OC1n2cnc3c(=O)n(C)c(=N)[nH]c23	tautomer #0
COC1C(O)C(COP(=O)([O-])[O-])OC1n2cnc3c(=O)n(C)c(N)nc23	tautomer #1
COC1C(O)C(COP(=O)([O-])[O-])OC1n2cnc3c(O)n(C)c(=N)nc23	tautomer #2
COC1C(O)C(COP(=O)([O-])[O-])OC1N2C=NC3C(=O)N(C)C(=N)N=C23	tautomer #3",,2025-09-15 16:52:12.826746+00:00,63,,51.126431039,-1683.61376686797,-8.2432,1.6337,9.8769
33,"1,2'-O-dimethylinosine","9-[(2R,3R,4R,5R)-4-hydroxy-5-(hydroxymethyl)-3-methoxyoxolan-2-yl]-1-methylpurin-6-one
",m1Im,nucleoside,Adenosine,ξ,ξ,019A,2000009019A,,CO[C@H]1[C@H]([n]2c3nc[n](c(=O)c3nc2)C)O[C@H](CO)[C@H]1O,C3%28OC%28CO%29C%28O%29C%28O%28C%29%293%29N2C%3DNC1%3DC2N%3DCN%28C%29C1%3DO,,Natural,"14133009
","381425244
391911133
419792657
",,"SCHEMBL20579949
",,,,C12H16N4O5,296.1121,296.279,297.1199,,,151,-1.6044,111.63,21,,not applicable,RNA,No,Yes,7,9,2,"InChI=1S/C12H16N4O5/c1-15-4-14-10-7(11(15)19)13-5-16(10)12-9(20-2)8(18)6(3-17)21-12/h4-6,8-9,12,17-18H,3H2,1-2H3/t6-,8-,9-,12-/m1/s1",JSRIPIORIMCGTG-WOUKDFQISA-N,,,2025-09-15 16:52:12.705073+00:00,,342,8.912854346,-1061.66194179772,-9.0454,1.0043,10.0497
342,"1,2'-O-dimethylinosine-5'-monophosphate",,pm1Im,nucleotide,Adenosine,ξ,ξ,019551A,2009019551A,,CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=O)[n](C)cnc12,,,Natural,,,,,,,,C12H15N4O8P,,374.243,,,,,-0.611,173.63,25,,,,,,8,12,1,"InChI=1S/C12H17N4O8P/c1-15-4-14-10-7(11(15)18)13-5-16(10)12-9(22-2)8(17)6(24-12)3-23-25(19,20)21/h4-6,8-9,12,17H,3H2,1-2H3,(H2,19,20,21)/p-2/t6-,8-,9-,12-/m1/s1",QMUZBFOCLALONG-WOUKDFQISA-L,,,2025-09-15 16:52:12.890892+00:00,33,,46.394391586,-1628.25859445562,-8.5201,1.1967,9.7168
230,1-(5-O-phosphono-beta-D-ribofuranosyl)-2-selanylpyrimidin-4(1H)-one,,pse2U,nucleotide,Uridine,,ω,20551U,2000020551U,,O[C@@H]1[C@@H](COP(=O)([O-])[O-])O[C@@H]([n]2c(=[Se])[nH]c(=O)cc2)[C@@H]1O,,,Natural,,,,,,,,C9H11N2O8PSe,,385.126,,,,,-1.5182,169.71,21,,not aplicable,RNA,No,Yes,7,9,3,"InChI=1S/C9H13N2O8PSe/c12-5-1-2-11(9(21)10-5)8-7(14)6(13)4(19-8)3-18-20(15,16)17/h1-2,4,6-8,13-14H,3H2,(H,10,12,21)(H2,15,16,17)/p-2/t4-,6-,7-,8-/m1/s1",OOOIYMZGLXSVKX-XVFCMESISA-L,"OC1C(COP(=O)([O-])[O-])OC(n2c(=[Se])[nH]c(=O)cc2)C1O	tautomer #0
OC1C(COP(=O)([O-])[O-])OC(n2c(=[Se])nc(O)cc2)C1O	tautomer #1",,2025-09-15 16:52:07.626830+00:00,94,,34.102666842,-3803.28912490941,-8.501,0.4979,8.9989
187,1-(beta-D-ribofuranosyl)-2-thio-uracil-5'-phosphate,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(4-oxo-2-sulfanylidenepyrimidin-1-yl)oxolan-2-yl]methyl phosphate",ps2U,nucleotide,Uridine,2,2,2551U,2000002551U,,O=c1cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]1,,,Natural,86310900,,,,,,,C9H11N2O8PS,,338.231,,,,,-0.4892,201.8,21,,not aplicable,RNA,No,Yes,7,10,3,"InChI=1S/C9H13N2O8PS/c12-5-1-2-11(9(21)10-5)8-7(14)6(13)4(19-8)3-18-20(15,16)17/h1-2,4,6-8,13-14H,3H2,(H,10,12,21)(H2,15,16,17)/p-2/t4-,6-,7-,8-/m1/s1",OEUXFECIJDETRF-XVFCMESISA-L,"O=c1ccn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=S)[nH]1	tautomer #0
O=c1ccn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(S)n1	tautomer #1
Oc1ccn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=S)n1	tautomer #2",,2025-09-15 16:52:05.612167+00:00,100,,30.679512463,-1800.18745418862,-8.5265,0.5994,9.1259
8,1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine,"2-amino-4-[5-[(2S,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3-methyl-2,6-dioxopyrimidin-1-yl]butanoic acid",m1acp3Y,nucleoside,Uridine,α,α,1309U,2000001309U,,C[n]1c(=O)[n](CCC(C(=O)O)N)c(=O)c([C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)c1,OC1C%28OC%28CO%29C1O%29C2%3DCN%28C%29C%28%3DO%29N%28CCC%28N%29C%28%3DO%29O%29C2%3DO,,Natural,193882,"33514622
52159796
103070161
103078270
113457113
117543561
135172343
227314743
275348828
315807151
319196935
341312802
354301613
391947604
415871581",,"1(2H)-Pyrimidinebutanoic acid, alpha-amino-3,6-dihydro-3-methyl-2,6-dioxo-5-beta-D-ribofuranosyl-
1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine
1-Methyl-3-(3-carboxy-3-aminopropyl)-5-(beta-D-ribofuranosyl)pyrimidine-2,4(1H,3H)-dione
(1s)-1-[3-(3-amino-3-carboxypropyl)-1-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl]-1,4-anhydro-d-ribitol
2-amino-4-[5-[(2S,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3-methyl-2,6-dioxopyrimidin-1-yl]butanoic acid
3-(3-Amino-3-carboxypropyl)-1-methylpseudouridine
52777-29-4
56889-16-8
AC1L4X6W
AC1Q5S8C
Acpmpsu
AR-1A1392
CID193882
DTXSID20276725
KST-1A6118
SCHEMBL1067194",,,,C14H21N3O8,359.1329,359.332,360.1407,,,228,-2.7967,177.24,25,,not applicable,RNA,No,Yes,9,11,5,"InChI=1S/C14H21N3O8/c1-16-4-6(11-10(20)9(19)8(5-18)25-11)12(21)17(14(16)24)3-2-7(15)13(22)23/h4,7-11,18-20H,2-3,5,15H2,1H3,(H,22,23)/t7?,8-,9-,10-,11+/m1/s1",CTPQMQZKRWLMRA-LYTXVXJPSA-N,"Cn1c(=O)n(CCC(C(O)=O)N)c(=O)c(C2C(O)C(O)C(CO)O2)c1	tautomer #0
Cn1c(=O)n(CCC(C(O)O)=N)c(=O)c(C2C(O)C(O)C(CO)O2)c1	tautomer #1
Cn1c(=O)n(CC=C(C(O)O)N)c(=O)c(C2C(O)C(O)C(CO)O2)c1	tautomer #2
Cn1c(=O)n(CCC(=C(O)O)N)c(=O)c(C2C(O)C(O)C(CO)O2)c1	tautomer #3",,2025-09-15 16:52:21.720190+00:00,,343,9.054116161,-1311.75947774987,-9.0221,0.8029,9.825
343,1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine-5'-monophosphate,,pm1acp3Y,nucleotide,Uridine,α,α,1309551U,2001309551U,,C[n]1cc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[n](CCC(N)C(=O)O)c1=O,,,Natural,,,,,,,,C14H20N3O11P,,437.296,,,,,-1.8033,239.24,29,,,,No,Yes,10,14,4,"InChI=1S/C14H22N3O11P/c1-16-4-6(12(20)17(14(16)23)3-2-7(15)13(21)22)11-10(19)9(18)8(28-11)5-27-29(24,25)26/h4,7-11,18-19H,2-3,5,15H2,1H3,(H,21,22)(H2,24,25,26)/p-2/t7?,8-,9-,10-,11+/m1/s1",BVRIEBGMUPJSJF-LYTXVXJPSA-L,"Cn1cc(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)n(CCC(N)C(O)=O)c1=O	tautomer #0
Cn1cc(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)n(CCC(=N)C(O)O)c1=O	tautomer #1
Cn1cc(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)n(CC=C(N)C(O)O)c1=O	tautomer #2
Cn1cc(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)n(CCC(N)=C(O)O)c1=O	tautomer #3",,2025-09-15 16:52:12.923938+00:00,8,,38.204808806,-1878.36524227159,-8.5085,1.0489,9.5574
83,1-methyladenosine,"(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methylpurin-9-yl)oxolane-3,4-diol
",m1A,nucleoside,Adenosine,"""",Ѣ,1A,2000000001A,27476,C[n]1c(=N)c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cn2)nc1,C3%28OC%28CO%29C%28O%29C%28O%293%29N2C%3DNC1%3DC2N%3DCN%28C%29C1%3DN,,Natural,"27476
","5506
610755
8145039
8169807
17171932
26756660
34669998
40649335
57310453
57391286
76691120
104300100
134992420
163128306
185986534
189415457
242462149
250031422
254789874
268755350
273528948
304755946
310278077
312226601
318050922
319081829
319441218
337257024
341241399
347244718
348276024
348804347
354067038
363603225
374040679
375079201
375097323
375987055
375987306
378034043
381012308
381930085
384441081
385644741
386481073
403479323
404622946
404757870
406572785
406804801
419589687
433774864
433775410
433777103
433777104
433777105
433777703
434413348
439458983
440703496
",,"15763-06-1
1-Methyladenosine
1-Methyladenosine, 98% - 250MG 250mg
(2R,3R,4S,5R)-2-(6-Amino-1-methyl-1H-purin-9(2H)-yl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol
(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methyl-1H-purin-9(6H)-yl)tetrahydrofuran-3,4-diol
(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methyl-6,9-dihydro-1H-purin-9-yl)oxolane-3,4-diol
(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methylpurin-9-yl)oxolane-3,4-diol
(2R,3S,4R,5R)-2-(hydroxymethyl)-5-(6-imino-1-methyl-purin-9-yl)tetrahydrofuran-3,4-diol
AC1L1DAV
AC-32347
Adenosine, 1-methyl-
Adenosine, 1-methyl- (VAN) (8CI)
Adenosine, N,6-didehydro-1,6-dihydro-1-methyl-
Adenosine, N,6-didehydro-1,6-dihydro-1-methyl- (9CI)
Adenosine, N,6-didehydro-1,9-dihydro-1-methyl-
AKOS030241121
alpha-Vetivone
C02494
C11-H15-N5-O4
CHEBI:16020
CHEMBL1866485
CID27476
CS-0059513
CTK8F3395
DTXSID30864632
GFYLSDSUCHVORB-IOSLPCCCSA-N
HY-113081
K-4948
M1A
MFCD00038421
N1-Methyladenosine
N(1)-methyladenosine
N1-Methyl-D-adenosine
NCGC00163305-01
NS00099498
NSC 92165
Q161643
SCHEMBL19553541
ZINC100053615
",16020,15763-06-1,42832,C11H15N5O4,281.1124,281.268,282.1202,"0,64 (Kellner 2014); 0,72 (Kellner 2014)","between U and G (Kellner 2014, Kellner 2014)",150,-2.0395,129.41,20,,not applicable,RNA,No,Yes,7,9,4,"InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1",GFYLSDSUCHVORB-IOSLPCCCSA-N,,m1A has a positive charge at neutral pH.,2025-09-15 16:52:21.166707+00:00,,204,8.174864284,-1002.49687613282,-8.4504,1.1952,9.6456
22,1-methylguanosine,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methylpurin-6-one",m1G,nucleoside,Guanosine,K,K,1G,2000000001G,96373,CN1C(=O)c2[n]c[n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)c2N=C1N,C3%28OC%28CO%29C%28O%29C%28O%293%29N2C%3DNC1%3DC2N%3DC%28N%29N%28C%29C1%3DO,,Natural,96373,"10228068
14849417
44426809
53801158
57336265
57394402
78991868
103830890
104418052
117476676
117590466
125317692
129416328
135053310
162499006
226443995
242627631
252400674
252410162
254770704
257685795
273528941
310278083
312226252
319441070
332868901
341161327
348275382
349717697
355073717
363671131
375987066
375987317
381990288
383850785
385663803
386500319
388623470
404622998
406854349
419580330
433776113
433776391
433776733
435910746
439442523
439576410
443531230",,"1-methyl-guanosine
1-Methylguanosine
2140-65-0
21919-00-6
2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methyl-6,9-dihydro-1H-purin-6-one
2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methylpurin-6-one
2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1-methyl-1,9-dihydro-6H-purin-6-one
2-Amino-9-((2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-1-methyl-1H-purin-6(9H)-one
AC1L3WBB
AC1Q3Y4I
AC1Q6DXD
AR-1J6689
CHEBI:19062
CHEMBL3246759
CID96373
CS-0061836
CTK1A4447
Guanosine, 1-methyl-
Guanosine, 1-methyl- (8CI)(9CI)
HY-113136
J-014033
m1g
methylguanosine
N1-Methylguanosine
N/A
N-methylguanosine
NS00073958
NSC 70897
Q27109106
SCHEMBL62505
trmd protein
ZINC5344125",19062,2140-65-0,"570907
1226983",C11H15N5O5,297.1073,297.267,298.1151,"1,23 (Kellner 2014);  1,28 (Kellner 2014)","between G and A (Kellner 2014, Kellner 2014)",166,-2.0951,148.65,21,,not applicable,RNA,No,Yes,8,10,4,"InChI=1S/C11H15N5O5/c1-15-9(20)5-8(14-11(15)12)16(3-13-5)10-7(19)6(18)4(2-17)21-10/h3-4,6-7,10,17-19H,2H2,1H3,(H2,12,14)/t4-,6-,7-,10-/m1/s1",UTAIYTHAJQNQDW-KQYNXXCUSA-N,"Cn1c(=O)c2ncn(C3C(O)C(O)C(CO)O3)c2[nH]c1=N	tautomer #0
Cn1c(=O)c2ncn(C3C(O)C(O)C(CO)O3)c2nc1N	tautomer #1
Cn1c(O)c2ncn(C3C(O)C(O)C(CO)O3)c2nc1=N	tautomer #2
CN1C(=O)C2N=CN(C3C(O)C(O)C(CO)O3)C2=NC1=N	tautomer #3",,2025-09-15 16:52:07.563027+00:00,,214,11.103810599,-1077.72668863811,-8.3688,1.519,9.8878
26,1-methylinosine,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methylpurin-6-one
",m1I,nucleoside,Adenosine,O,O,19A,2000000019A,65095,C[n]1c(=O)c2c([n]([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cn2)nc1,C3%28OC%28CO%29C%28O%29C%28O%293%29N2C%3DNC1%3DC2N%3DCN%28C%29C1%3DO,,Natural,"65095
","8189507
14824513
43121935
57315309
57392306
76969288
104332863
135022177
135610188
250032172
273525258
312226528
315736069
341161597
342526846
344390272
347744791
348275874
349717705
355073652
381833233
381833456
385527342
385663804
386500320
388608285
404623001
404825304
419580331
434370157
434737980
439432544
442069981
442910328
442932206
",,"1-methyl-inosine
1-Methylinosine
2140-73-0
9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methyl-6,9-dihydro-1H-purin-6-one
9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1-methylpurin-6-one
9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]-1-methyl-1,9-dihydro-6H-purin-6-one
AC1L22KY
C6JR3HAB96
CHEBI:19065
CID65095
CS-0061842
DTXSID90175670
HY-113139
inosine, 1-methyl
Inosine, 1-methyl-
Inosine,1-methyl-
m(1)i
N1-Methylinosine
Q27109107
SCHEMBL19359092
UNII-C6JR3HAB96
WJNGQIYEQLPJMN-IOSLPCCCSA-N
",19065,2140-73-0,42831,C11H14N4O5,282.0964,282.253,283.1042,"1,24 (Kellner 2014)",between G and A (Kellner 2014),151,-2.2585,122.63,20,,not applicable,RNA,No,Yes,7,9,3,"InChI=1S/C11H14N4O5/c1-14-3-13-9-6(10(14)19)12-4-15(9)11-8(18)7(17)5(2-16)20-11/h3-5,7-8,11,16-18H,2H2,1H3/t5-,7-,8-,11-/m1/s1",WJNGQIYEQLPJMN-IOSLPCCCSA-N,,,2025-09-15 16:52:09.206428+00:00,,344,8.654338289,-1022.37079326161,-9.0062,1.0625,10.0687
344,1-methylinosine-5'-monophosphate,,pm1I,nucleotide,Adenosine,O,O,19551A,2000019551A,,C[n]1cnc2c(nc[n]2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1=O,,,Natural,,,,,,,,C11H13N4O8P,,360.217,,,,,-1.2651,184.63,24,,,,,,8,12,2,"InChI=1S/C11H15N4O8P/c1-14-3-13-9-6(10(14)18)12-4-15(9)11-8(17)7(16)5(23-11)2-22-24(19,20)21/h3-5,7-8,11,16-17H,2H2,1H3,(H2,19,20,21)/p-2/t5-,7-,8-,11-/m1/s1",CPKNFRPSNBOHIM-IOSLPCCCSA-L,,,2025-09-15 16:52:12.964925+00:00,26,,43.978070091,-1588.96789429665,-8.528,1.1977,9.7257
