Filename	RNA Type	Modality	Track Type	Description	Hub BigBed URL	Paper
polyA-RNA_hg38_Illumina.bed	polyA-RNA_hg38	Illumina	consensus	Illumina sequencing-based RNA modifications in human polyadenylated RNA, mapped to the hg38 reference genome.	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/polyA-RNA_hg38_Illumina.bigBed	PLACEHOLDER_DOI
polyA-RNA_hg38_ONT.bed	polyA-RNA_hg38	ONT	consensus	Oxford Nanopore sequencing-based RNA modifications in human polyadenylated RNA, mapped to the hg38 reference genome.	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/polyA-RNA_hg38_ONT.bigBed	PLACEHOLDER_DOI
polyA_m6A.bed	polyA-RNA_hg38	Illumina	experiment	Individual Illumina experiment — polyA-RNA_hg38 RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/experiments_illumina/polyA_m6A.bigBed	PLACEHOLDER_DOI
polyA_m5C.bed	polyA-RNA_hg38	Illumina	experiment	Individual Illumina experiment — polyA-RNA_hg38 RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/experiments_illumina/polyA_m5C.bigBed	PLACEHOLDER_DOI
polyA_psiU.bed	polyA-RNA_hg38	Illumina	experiment	Individual Illumina experiment — polyA-RNA_hg38 RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/experiments_illumina/polyA_psiU.bigBed	PLACEHOLDER_DOI
Inosine_JACUSA_REDItools.bed	polyA-RNA_hg38	Illumina	experiment	Individual Illumina experiment — polyA-RNA_hg38 RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/experiments_illumina/Inosine_JACUSA_REDItools.bigBed	PLACEHOLDER_DOI
polyA.native_vs_ivt_fisher.filtered.bed	polyA-RNA_hg38	ONT	experiment	Individual ONT experiment — polyA-RNA_hg38 RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/hg38_polyA-RNA/experiments_ont/polyA.native_vs_ivt_fisher.filtered.bigBed	PLACEHOLDER_DOI
tRNA_Illumina.bed	tRNA	Illumina	consensus	Illumina sequencing-based RNA modifications in human transfer RNA.	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/trna/tRNA_Illumina.bigBed	PLACEHOLDER_DOI
tRNA_MS.bed	tRNA	MS	consensus	Mass spectrometry-based RNA modifications in human transfer RNA.	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/trna/tRNA_MS.bigBed	PLACEHOLDER_DOI
combined_YM+TP_bedRmod_RNOME_tRNA_noScoreAndFrequency.bed	tRNA	Illumina	experiment	Individual Illumina experiment — tRNA RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/trna/experiments_illumina/combined_YM+TP_bedRmod_RNOME_tRNA_noScoreAndFrequency.bigBed	PLACEHOLDER_DOI
HRP_C_001_tRNA_003.bed	tRNA	MS	experiment	Individual MS experiment — tRNA RNA modifications. (PLACEHOLDER)	https://raw.githubusercontent.com/baihesun/RNome_UCSC_hub/main/ucsc_hub/trna/experiments_ms/HRP_C_001_tRNA_003.bigBed	PLACEHOLDER_DOI
