chr	start	end	name	tier	strand
hs_tRNAAla_CGC	56	57	m1A	tier1	+
hs_tRNAArg_ACG	25	26	m2,2G	tier1	+
hs_tRNAArg_ACG	46	47	D	tier1	+
hs_tRNAArg_ACG	48	49	m5C	tier2	+
hs_tRNAArg_TCG	25	26	m2,2G	tier1	+
hs_tRNAAsp_GTC	56	57	m1A	tier1	+
hs_tRNACys_GCA	70	71	m5C	tier2	+
hs_tRNAGln_CTG_TTG	8	9	m1G	tier1	+
hs_tRNAGln_CTG_TTG	16	17	Gm	tier2	+
hs_tRNAGln_CTG_TTG	52	53	Y	tier2	+
hs_tRNAGln_CTG_TTG	56	57	m1A	tier1	+
hs_tRNAGlu_CTC	56	57	m1A	tier1	+
hs_tRNAGlu_TTC	56	57	m1A	tier1	+
hs_tRNAGly_CCC	30	31	Um	tier2	+
hs_tRNAGly_CCC	55	56	m1A	tier1	+
hs_tRNAGly_GCC	36	37	m5C	tier2	+
hs_tRNAGly_GCC	55	56	m1A	tier1	+
hs_tRNAGly_TCC	56	57	m1A	tier1	+
hs_tRNAHis_GTG	47	48	m5C	tier2	+
hs_tRNAHis_GTG	57	58	m1A	tier1	+
hs_tRNAHis_GTG	71	72	m5C	tier2	+
hs_tRNALeu_AAG	37	38	m1G	tier1	+
hs_tRNALeu_AAG	66	67	m1A	tier1	+
hs_tRNALeu_CAA	18	19	D	tier1	+
hs_tRNALeu_CAA	37	38	m1G	tier1	+
hs_tRNALeu_CAG	44	45	Am	tier1	+
hs_tRNALeu_CAG	50	51	m3C	tier1	+
hs_tRNALys_TTT	57	58	m1A	tier1	+
hs_tRNAMet_CAT	36	37	t6A	tier1	+
hs_tRNAMet_CAT	47	48	m5C	tier2	+
hs_tRNAPhe_GAA	25	26	m2,2G	tier1	+
hs_tRNAPro_AGG_CGG_TGG	52	53	m5U	tier1	+
hs_tRNAPro_AGG_CGG_TGG	56	57	m1A	tier1	+
hs_tRNASeC_TCA	38	39	i6A	tier1	+
hs_tRNASer_AGA	66	67	m1A	tier1	+
hs_tRNASer_GCT	25	26	m2,2G	tier1	+
hs_tRNASer_GCT	66	67	m1A	tier1	+
hs_tRNAThr_AGT	58	59	m1A	tier1	+
hs_tRNAThr_AGT	72	73	m5C	tier2	+
hs_tRNAThr_CGT1	70	71	m5C	tier2	+
hs_tRNAThr_TGT	31	32	m3C	tier1	+
hs_tRNAThr_TGT	53	54	m5U	tier1	+
hs_tRNAThr_TGT	57	58	m1A	tier1	+
hs_tRNAThr_TGT	71	72	m5C	tier2	+
hs_tRNATrp_CCA	24	25	m2,2G	tier1	+
hs_tRNATyr_GTA2	57	58	m1A	tier1	+
hs_tRNAVal_AAC_CAC	57	58	m1A	tier1	+
hs_tRNAVal_TAC	47	48	m5C	tier2	+
